,datetime,timestamp,open,high,low,close,volume,inflow_start_time,inflow_inflow_mean,inflow_inflow_mean_ma7,inflow_inflow_top10,inflow_inflow_total,outflow_start_time,outflow_outflow_mean,outflow_outflow_mean_ma7,outflow_outflow_top10,outflow_outflow_total,netflow_start_time,netflow_netflow_total,utxo_created_value_median,returns,volatility,volume_ma,target,hour,day_of_week,Time,zscore,signal,position,strategy_returns,equity,market,trades,fees,net_equity
25607,2025-03-13 18:00:00,1741888800000,80063.99,80957.84,79996.65,80820.05,1638.17538,1741888800000.0,0.74345466,4.3746895,31.11969903,31.22509574,1741888800000.0,6.10484071,9.13813783,250.74256499,286.92751336,1741888800000.0,-255.70241762,95.63946832182287,0.009443070543565,0.0051666764456202,1129.147820833332,1,18,3,2025-03-13 18:00:00,-0.5977486469229106,0,-1,-0.009443070543565,1.0774310806408542,0.8636835299649862,0.0,0.0,1.0741987873989316
25608,2025-03-13 19:00:00,1741892400000,80820.05,81031.81,80137.47,80211.4,1081.83567,1741892400000.0,4.22188954,2.51612425,371.19157538,371.52627954,1741892400000.0,10.40858251,9.17630555,427.53992521,447.569048,1741892400000.0,-76.04276845999999,100.14578026901992,-0.0075309282783171,0.0052483790694654,1138.801265416665,1,19,3,2025-03-13 19:00:00,0.28481399980055155,0,-1,0.0075309282783171,1.0855451368339903,0.8571791912456561,0.0,0.0,1.0822885014234884
25609,2025-03-13 20:00:00,1741896000000,80210.4,80735.83,80189.89,80379.05,770.63142,1741896000000.0,21.71721666,5.60490031,2059.22472118,2150.00444933,1741896000000.0,4.5285354,8.04583535,130.35901381,135.85606213,1741896000000.0,2014.1483872,35.20348792982775,0.0020901019057142,0.0052352232520941,1146.8797116666651,1,20,3,2025-03-13 20:00:00,2.290413933760369,-1,-1,-0.0020901019057142,1.0832762368747548,0.8589707831068173,0.0,0.0,1.0800264081641306
25610,2025-03-13 21:00:00,1741899600000,80379.05,80882.65,80280.66,80819.99,713.67943,1741899600000.0,4.21807656,6.09673036,143.24216417,143.41460297,1741899600000.0,5.2619134,8.36549174,183.45642653,194.69079589,1741899600000.0,-51.27619292,94.33167340894352,0.0054857577938529,0.0054179153728049,1160.4524454166651,1,21,3,2025-03-13 21:00:00,-0.27159747823768665,0,-1,-0.0054857577938529,1.0773336458154235,0.8636828887749375,0.0,0.0,1.0741016448779772
25611,2025-03-13 22:00:00,1741903200000,80819.99,81400.0,80730.48,81395.54,550.15428,1741903200000.0,9.29664227,7.27128761,538.50276043,539.20525163,1741903200000.0,1.11464404,6.97573293,30.408063,32.32467711,1741903200000.0,506.88057452,39.1935228835105,0.007121381727466,0.0054444949534078,1158.0436291666651,1,22,3,2025-03-13 22:00:00,0.2923039523192352,0,-1,-0.007121381727466,1.0696615416757291,0.8698335043173844,0.0,0.0,1.066452557050702
25612,2025-03-13 23:00:00,1741906800000,81395.54,81484.23,81046.57,81115.78,433.38654,1741906800000.0,1.00680361,5.88837136,27.16520945,27.18369746,1741906800000.0,1.3592319,5.43283863,41.44220341,44.85465273,1741906800000.0,-17.670955269999997,19.110316543867963,-0.0034370433564295,0.005454832010445,1147.761421666665,1,23,3,2025-03-13 23:00:00,-0.7039424565128705,0,-1,0.0034370433564295,1.0733380147711737,0.8668438488501705,0.0,0.0,1.0701180007268603
25613,2025-03-14 00:00:00,1741910400000,81115.78,81694.41,80818.84,81503.31,721.32303,1741910400000.0,14.45451058,7.9512277,447.95597446,448.08982786,1741910400000.0,29.63419038,8.34456262,823.80414745,829.75733069,1741910400000.0,-381.66750283,13.723968853888444,0.0047774921229877,0.0055808082466152,1128.056079583332,1,0,4,2025-03-14 00:00:00,0.9048342041627055,0,-1,-0.0047774921229877,1.0682101508603012,0.8709851885099126,0.0,0.0,1.0650055204077202
25614,2025-03-14 01:00:00,1741914000000,81503.31,81876.17,81206.04,81603.08,506.51801,1741914000000.0,1.49016766,8.05790098,34.26786028,34.27385624,1741914000000.0,2.69457479,7.85738177,72.86924507,80.83724357,1741914000000.0,-46.56338733,16.272849353971974,0.0012241220632633,0.0054214247432489,1109.558673749999,1,1,4,2025-03-14 01:00:00,-0.9210275472569001,0,-1,-0.0012241220632633,1.0669025312464313,0.8720513806959432,0.0,0.0,1.063701823652692
25615,2025-03-14 02:00:00,1741917600000,81603.07,82270.51,81588.51,82226.98,714.90216,1741917600000.0,4.74910864,8.133218,161.39051946,161.46969392,1741917600000.0,3.17146648,6.82350806,98.26644114,107.82986015,1741917600000.0,53.63983377,70.08932831554164,0.0076455447514971,0.0057090427280638,1101.7486858333318,1,2,4,2025-03-14 02:00:00,-0.5195515784824987,0,-1,-0.0076455447514971,1.0587454801983012,0.8787186885526589,0.0,0.0,1.0555692437577062
25616,2025-03-14 03:00:00,1741921200000,82226.98,82247.7,81708.96,81888.77,803.86317,1741921200000.0,2.67783559,5.41330642,72.18610169,72.30156094,1741921200000.0,4.90540696,6.87734685,118.59431244,122.63517402,1741921200000.0,-50.33361307999999,48.61843404266942,-0.0041131268593348,0.0057399063432558,1105.2247195833318,1,3,4,2025-03-14 03:00:00,-0.42308707804647716,0,-1,0.0041131268593348,1.0631002346701042,0.8751044071129734,0.0,0.0,1.059910933966094
25617,2025-03-14 04:00:00,1741924800000,81888.77,82040.0,81841.99,81948.16,371.30991,1741924800000.0,12.93040581,6.65792488,399.64105788,400.84258,1741924800000.0,3.94265375,6.68888119,148.98897605,153.76349642,1741924800000.0,247.07908358,13.517251275645975,0.0007252520705831,0.0057198643164884,1089.8947566666652,1,4,4,2025-03-14 04:00:00,0.9514011767024964,0,-1,-0.0007252520705831,1.0623292190236724,0.8757390783962086,0.0,0.0,1.0591422313666015
